marker,allele_frequency
0,0.7268482490272373
1,0.5723735408560311
2,0.1085603112840467
3,0.2918287937743191
4,0.2630350194552529
5,0.35914396887159533
6,0.41245136186770426
7,0.569260700389105
8,0.7603112840466926
9,0.3284046692607004
10,0.554863813229572
11,0.551750972762646
12,0.4132295719844358
13,0.5447470817120622
14,0.09844357976653696
15,0.4599221789883268
16,0.11517509727626458
17,0.19027237354085602
18,0.7038910505836576
19,0.7459143968871595
20,0.3299610894941634
21,0.9863813229571985
22,0.4260700389105058
23,0.2840466926070039
24,0.5105058365758754
25,0.5583657587548638
26,0.5260700389105059
27,0.3782101167315175
28,0.038910505836575876
29,0.8357976653696498
30,0.4198443579766537
31,0.24085603112840467
32,0.7439688715953308
33,0.7128404669260701
34,0.6128404669260701
35,0.11050583657587548
36,0.6307392996108949
37,0.7867704280155642
38,0.03968871595330739
39,0.6182879377431907
40,0.2961089494163424
41,0.7809338521400778
42,0.8817120622568093
43,0.6299610894941634
44,0.49066147859922177
45,0.28326848249027237
46,0.3105058365758755
47,0.44863813229571986
48,0.49883268482490273
49,0.7217898832684825
50,0.4011673151750973
51,0.9062256809338521
52,0.6132295719844358
53,0.6622568093385214
54,0.7077821011673152
55,0.7552529182879377
56,0.8540856031128404
57,0.8494163424124513
58,0.4945525291828794
59,0.6085603112840466
60,0.34941634241245134
61,0.24863813229571985
62,0.32412451361867706
63,0.896887159533074
64,0.9501945525291828
65,0.24591439688715952
66,0.3486381322957198
67,0.7264591439688716
68,0.6832684824902724
69,0.551750972762646
70,0.19299610894941635
71,0.6093385214007782
72,0.5587548638132296
73,0.16070038910505838
74,0.8848249027237354
75,0.49066147859922177
76,0.6124513618677043
77,0.8346303501945526
78,0.3914396887159533
79,0.8365758754863813
80,0.9443579766536965
81,0.6455252918287938
82,0.935408560311284
83,0.6202334630350195
84,0.777431906614786
85,0.8813229571984436
86,0.06536964980544747
87,0.2424124513618677
88,0.3649805447470817
89,0.8957198443579767
90,0.21361867704280155
91,0.24319066147859922
92,0.33073929961089493
93,0.6085603112840466
94,0.47704280155642026
95,0.39182879377431906
96,0.43268482490272375
97,0.653307392996109
98,0.7980544747081713
99,0.301556420233463
100,0.488715953307393
101,0.3330739299610895
102,0.17042801556420234
103,0.6256809338521401
104,0.8747081712062257
105,0.67431906614786
106,0.9264591439688716
107,0.5926070038910506
108,0.3941634241245136
109,0.8007782101167316
110,0.7404669260700389
111,0.6089494163424124
112,0.8023346303501946
113,0.863035019455253
114,0.24124513618677043
115,0.796887159533074
116,0.17782101167315176
117,0.7237354085603113
118,0.8832684824902723
119,0.6731517509727627
120,0.8136186770428016
121,0.5610894941634241
122,0.5867704280155642
123,0.9727626459143969
124,0.38365758754863816
125,0.27276264591439686
126,0.6474708171206226
127,0.1085603112840467
128,0.05408560311284047
129,0.42023346303501946
130,0.7217898832684825
131,0.5400778210116731
132,0.8700389105058366
133,0.23151750972762647
134,0.31984435797665367
135,0.5319066147859922
136,0.9035019455252918
137,0.8463035019455253
138,0.9186770428015564
139,0.5046692607003891
140,0.28793774319066145
141,0.6754863813229572
142,0.48521400778210116
143,0.3159533073929961
144,0.5447470817120622
145,0.24474708171206225
146,0.3151750972762646
147,0.05291828793774319
148,0.1066147859922179
149,0.18638132295719845
150,0.7038910505836576
151,0.6350194552529183
152,0.3614785992217899
153,0.9256809338521401
154,0.2019455252918288
155,0.8941634241245137
156,0.5245136186770428
157,0.40350194552529184
158,0.8657587548638133
159,0.2945525291828794
160,0.8529182879377432
161,0.4280155642023346
162,0.832295719844358
163,0.9552529182879378
164,0.3431906614785992
165,0.23929961089494164
166,0.6856031128404669
167,0.5443579766536965
168,0.9287937743190662
169,0.3498054474708171
170,0.5778210116731517
171,0.846692607003891
172,0.7805447470817121
173,0.1
174,0.9396887159533074
175,0.3159533073929961
176,0.8381322957198444
177,0.9712062256809338
178,0.8649805447470817
179,0.5070038910505836
180,0.6988326848249027
181,0.8482490272373541
182,0.8042801556420234
183,0.8287937743190662
184,0.06459143968871596
